event,ParticleID,kaon_category,particle_parent_track_id,particle_process_key,particle_final_kinetic_energy,particle_decay_flag,track_length_cm
0,2,primary kaon,0,20,0.0,1,12.749734384675097
1,2,primary kaon,0,20,0.0,1,2.3702470048742983
2,2,primary kaon,0,20,0.0,1,4.636066050660441
3,2,primary kaon,0,20,0.0,1,11.80276549493901
4,2,primary kaon,0,20,0.0,1,25.119748791859717
5,2,primary kaon,0,20,0.0,1,5.889868141020253
6,2,primary kaon,0,20,0.0,1,20.86600800988412
7,2,primary kaon,0,20,0.0,1,2.7009911651677534
8,2,primary kaon,0,20,0.0,1,3.853842288285767
9,2,primary kaon,0,20,0.0,1,14.948359173904949
10,2,primary kaon,0,20,0.0,1,2.3001359420174277
11,2,primary kaon,0,20,0.0,1,9.653263616024372
12,2,primary kaon,0,20,0.0,1,7.219806318355532
13,2,primary kaon,0,20,0.0,1,1.4858051374229397
14,2,primary kaon,0,20,0.0,1,19.542537259340488
15,2,primary kaon,0,20,0.0,1,19.555528406514657
16,2,primary kaon,0,20,76.06264787218183,1,22.842618050147944
17,2,primary kaon,0,20,0.0,1,8.816331879928626
18,2,primary kaon,0,20,0.0,1,34.25742931332797
19,2,primary kaon,0,20,0.0,1,8.900896302382858
20,2,primary kaon,0,20,0.0,1,5.142922859639283
21,2,primary kaon,0,20,0.0,1,30.78805440494704
22,2,primary kaon,0,20,0.0,1,16.242389944189792
23,2,primary kaon,0,20,0.0,1,24.44683470194208
24,2,primary kaon,0,20,0.0,1,5.26060759135633
25,2,primary kaon,0,20,81.50745603618539,1,1.4672107335489653
26,2,primary kaon,0,20,0.0,1,1.8651839867763342
27,2,primary kaon,0,20,0.0,1,5.216104422736312
28,2,primary kaon,0,20,0.0,1,3.771953543447237
29,2,primary kaon,0,20,0.0,1,11.030551487407898
30,2,primary kaon,0,20,0.0,1,7.912307508051924
31,2,primary kaon,0,20,0.0,1,0.12079179275634155
32,2,primary kaon,0,20,0.0,1,22.99678043422788
33,2,primary kaon,0,20,0.0,1,0.11493540634655545
34,2,primary kaon,0,20,0.0,1,2.4631766317842363
35,2,primary kaon,0,20,0.0,1,1.4148844987223737
36,2,primary kaon,0,20,0.0,1,11.482744539490552
37,2,primary kaon,0,20,0.0,1,13.8209657922357
38,2,primary kaon,0,20,0.0,1,39.10464211991363
39,2,primary kaon,0,20,0.0,1,9.888554595357233
40,3,daughter kaon,2,20,0.0,1,0.39409396323310625
40,2,primary kaon,0,-2,0.0,0,2.050279485721431
41,2,primary kaon,0,20,0.0,1,20.051200244540865
